과자류,츄파춥스 미니 5개입,12,50,12,0,0,10,25,0,0,0
과자류,츄파춥스 미니 100입,12,50,12,0,0,10,25,0,0,0
과자류,츄파춥스 미니틴,11,45,11,0,0,9,20,0,0,0
과자류,츄파춥스 엑스엑스엘 트리오,29,110,27,0,0,22,0,0,0,0
과자류,츄파춥스 멜로디팝스,15,55,14,0,0,11,0,0,0,0
과자류,새우깡,30,145,19,2,7,1,150,0,2.3,0
과자류,매운새우깡,30,155,19,2,8,2,170,0,2.3,0
과자류,쌀새우깡,30,150,20,2,7,2,160,0,2.2,0
과자류,꿀꽈배기,30,145,22,1,6,7,85,0,1.9,0
과자류,땅콩꽈배기,30,140,21,1,6,8,50,0,1.8,0
과자류,오징어집,55,285,34,4,15,3,270,2.75,4.7,0
과자류,자갈치,60,315,37,4,17,4,250,0,5,0
과자류,감자깡,30,150,22,2,6,1,150,0,1.8,0
과자류,고구마깡,55,265,40,2,11,14,280,0,3.7,0
과자류,포스틱,30,135,22,1,5,1,160,0,1.5,0
과자류,후라이드치킨 닭다리,55,285,34,3,15,2,270,0,4.2,0.28
과자류,핫숯불바베큐 닭다리,55,280,34,4,14,2,310,0,3.8,0.28
과자류,양파깡,45,230,29,2,12,2,260,0,4,0
과자류,벌집핏자,55,305,35,3,17,3,320,0,4,0
과자류,별따먹자,30,154.55,20.91,1.82,7.27,3.64,163.64,0,2,0
과자류,별따먹자미니,45,235,32,2,11,5,250,0,3.6,0
과자류,별따먹자콩고물맛,43,215,28,3,10,6,130,0,3,0
과자류,조청유과,30,155,18,0.8,9,8,85,0,2.7,0
과자류,양파링 ORIGINAL,30,140,21,1,6,2,190,0,2,0
과자류,양파링 HOT&SPICY,60,290,42,3,13,7,420,0,3.8,0
과자류,바나나킥,31,130.2,26.66,1.24,1.98,13.64,40.3,0,0.62,0
과자류,인디안밥,55,280,33,3,15,0.55,330,0,4.7,0
과자류,콘스틱,30,160,18,2,9,3,115,0,2.8,0
과자류,쫄병바베큐,30,145,19,2,7,2,130,0,3.6,0
과자류,쫄병 매콤한맛,30,145,19,2,7,2,130,0,3.6,0
과자류,알새우칩,45,230,30,1,12,4,360,0,3.8,0
과자류,수미칩 오리지널,30,150,18,2,8,0.3,120,0,2.6,0
과자류,수미칩 어니언,30,150,18,2,8,0.3,140,0,2.4,0
과자류,칩포테토 오리지널,30,175,16.5,1.5,11.5,0,90,0,3.5,0.15
과자류,칩포테토 어니언,30,165,17,1.5,10,1,90,0,3,0
과자류,칩포테토 매콤달콤,60,340,32,3,22,2,260,0,7,0.3
과자류,츄파춥스 팝아트틴,11,45,11,0,0,9,20,0,0,0
과자류,츄파춥스 미니튜브,11,45,11,0,0,9,20,0,0,0
